district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month
TUR.10.4_1,Artvin,Hopa,high,2049,7,0.06705690518671184,3.858537867424856e-4,6.96216399390659e-5,1.4337240087847871,1.2760315324794949,0.25,31,3,1.167152927084333e-6,3.501458781252999e-6,3.6181740739614325e-5,3.6181740739614325e-5,3.5014526511556454e-6
TUR.10.4_1,Artvin,Hopa,high,2049,8,0.06705690518671184,3.858537867424856e-4,7.450326348168446e-5,1.5342554185233497,1.2760315324794949,0.25,31,3,1.2489895688479813e-6,3.746968706543944e-6,3.871867663428742e-5,3.871867663428742e-5,3.746961686701411e-6
TUR.10.4_1,Artvin,Hopa,high,2049,9,0.06705690518671184,3.858537867424856e-4,6.413494498547223e-5,1.3207324366221658,1.2760315324794949,0.25,30,3,1.075172731261448e-6,3.2255181937843437e-6,3.2255181937843435e-5,3.2255181937843435e-5,3.2255129918112857e-6
TUR.10.4_1,Artvin,Hopa,high,2049,10,0.06705690518671184,3.858537867424856e-4,6.038966458998818e-5,1.243603460048037,1.2760315324794949,0.25,31,3,1.0123860031670417e-6,3.037158009501125e-6,3.138396609817829e-5,3.138396609817829e-5,3.0371533973339027e-6
TUR.10.4_1,Artvin,Hopa,high,2049,11,0.06705690518671184,3.858537867424856e-4,3.521545939633164e-5,0.7251823004971923,1.2760315324794949,0.25,30,3,5.903599304615778e-7,1.7710797913847333e-6,1.7710797913847335e-5,1.7710797913847335e-5,1.7710782230784261e-6
TUR.10.4_1,Artvin,Hopa,high,2049,12,0.06705690518671184,3.858537867424856e-4,3.176597877418974e-5,0.6541469635058071,1.2760315324794949,0.25,31,3,5.325320567059856e-7,1.5975961701179566e-6,1.6508493757885552e-5,1.6508493757885552e-5,1.597594893931742e-6
TUR.10.4_1,Artvin,Hopa,high,2050,1,0.06705690518671184,3.858537867424856e-4,2.72217004992914e-5,0.6281034622015411,1.1388265205382009,0.25,31,3,4.5635074735051244e-7,1.3690522420515372e-6,1.4146873167865885e-5,1.4146873167865885e-5,1.3690513048780772e-6
TUR.10.4_1,Artvin,Hopa,high,2050,2,0.06705690518671184,3.858537867424856e-4,2.8369364711289258e-5,0.6545846179366359,1.1388265205382009,0.25,28,3,4.755904499130431e-7,1.4267713497391292e-6,1.3316532597565206e-5,1.3316532597565206e-5,1.4267703318804337e-6
TUR.10.4_1,Artvin,Hopa,high,2050,3,0.06705690518671184,3.858537867424856e-4,2.8244772326324608e-5,0.6517097770197132,1.1388265205382009,0.25,31,3,4.735017549766529e-7,1.4205052649299588e-6,1.467855440427624e-5,1.467855440427624e-5,1.4205042560000436e-6
TUR.10.4_1,Artvin,Hopa,high,2050,4,0.06705690518671184,3.858537867424856e-4,3.472983035279764e-5,0.8013462854757657,1.1388265205382009,0.25,30,3,5.822187352795346e-7,1.746656205838604e-6,1.7466562058386038e-5,1.7466562058386038e-5,1.7466546804456584e-6
